selector,axis,group,budget,representation_ratio,kept_count,pool_count,n_seeds
perplexity-mid,skill,safety,0.25,1.046,311.0,1190,1
perplexity-mid,skill,safety,0.5,1.316,783.0,1190,1
perplexity-mid,skill,science,0.01,0.0,0.0,112,1
perplexity-mid,skill,science,0.05,0.357,2.0,112,1
perplexity-mid,skill,science,0.1,0.268,3.0,112,1
perplexity-mid,skill,science,0.25,0.393,11.0,112,1
perplexity-mid,skill,science,0.5,0.946,53.0,112,1
quality,skill,chat,0.01,1.066,13.0,1224,1
quality,skill,chat,0.05,0.997,61.0,1224,1
quality,skill,chat,0.1,0.989,121.0,1224,1
quality,skill,chat,0.25,0.994,304.0,1224,1
quality,skill,chat,0.5,1.064,651.0,1224,1
quality,skill,code,0.01,1.94,29.0,1501,1
quality,skill,code,0.05,1.546,116.0,1501,1
quality,skill,code,0.1,1.493,224.0,1501,1
quality,skill,code,0.25,1.525,572.0,1501,1
quality,skill,code,0.5,1.418,1064.0,1501,1
quality,skill,general,0.01,0.721,7.0,974,1
quality,skill,general,0.05,0.698,34.0,974,1
quality,skill,general,0.1,0.698,68.0,974,1
quality,skill,general,0.25,0.698,170.0,974,1
quality,skill,general,0.5,0.745,363.0,974,1
quality,skill,instruction_following,0.01,3.392,10.0,296,1
quality,skill,instruction_following,0.05,2.163,32.0,296,1
quality,skill,instruction_following,0.1,1.892,56.0,296,1
quality,skill,instruction_following,0.25,1.5,111.0,296,1
quality,skill,instruction_following,0.5,1.507,223.0,296,1
quality,skill,math,0.01,0.977,34.0,3494,1
quality,skill,math,0.05,1.174,205.0,3494,1
quality,skill,math,0.1,1.297,453.0,3494,1
quality,skill,math,0.25,1.301,1136.0,3494,1
quality,skill,math,0.5,1.247,2178.0,3494,1
quality,skill,multilingual,0.01,0.503,10.0,1995,1
quality,skill,multilingual,0.05,0.451,45.0,1995,1
quality,skill,multilingual,0.1,0.421,84.0,1995,1
quality,skill,multilingual,0.25,0.395,197.0,1995,1
quality,skill,multilingual,0.5,0.478,477.0,1995,1
quality,skill,other,0.01,0.0,0.0,56,1
quality,skill,other,0.05,0.714,2.0,56,1
quality,skill,other,0.1,0.357,2.0,56,1
quality,skill,other,0.25,0.5,7.0,56,1
quality,skill,other,0.5,0.893,25.0,56,1
quality,skill,safety,0.01,0.337,4.0,1190,1
quality,skill,safety,0.05,0.723,43.0,1190,1
quality,skill,safety,0.1,0.605,72.0,1190,1
quality,skill,safety,0.25,0.682,203.0,1190,1
quality,skill,safety,0.5,0.701,417.0,1190,1
quality,skill,science,0.01,0.896,1.0,112,1
quality,skill,science,0.05,0.714,4.0,112,1
quality,skill,science,0.1,0.357,4.0,112,1
quality,skill,science,0.25,0.357,10.0,112,1
quality,skill,science,0.5,0.411,23.0,112,1
random,skill,chat,0.01,0.984,12.0,1224,3
random,skill,chat,0.05,1.012,62.7,1224,3
random,skill,chat,0.1,0.979,122.0,1224,3
random,skill,chat,0.25,1.028,316.7,1224,3
random,skill,chat,0.5,1.007,617.7,1224,3
random,skill,code,0.01,1.137,17.0,1501,3
random,skill,code,0.05,0.867,66.0,1501,3
random,skill,code,0.1,0.994,152.0,1501,3
random,skill,code,0.25,0.962,363.3,1501,3
